depth,time,nodes
2,0.0019807815551757812,57
2,0.0030333995819091797,57
2,0.0010027885437011719,57
2,0.0030078887939453125,57
2,0.0020186901092529297,57
2,0.0030825138092041016,57
2,0.002087831497192383,57
2,0.002978801727294922,57
2,0.0019178390502929688,43
2,0.0029108524322509766,43
2,0.001020669937133789,31
2,0.0010004043579101562,31
2,0.0009989738464355469,31
2,0.001104116439819336,30
2,0.0,21
2,0.005002737045288086,57
2,0.0030069351196289062,57
2,0.004012584686279297,57
2,0.0030269622802734375,57
2,0.0020914077758789062,57
2,0.01600480079650879,57
2,0.0031151771545410156,57
2,0.0,57
2,0.0,56
2,0.01607227325439453,57
2,0.0,57
2,0.0,57
2,0.015112161636352539,57
2,0.0028755664825439453,57
2,0.008183717727661133,57
2,0.0,56
2,0.0,43
2,0.017235517501831055,43
2,0.0,42
2,0.01380157470703125,31
2,0.0,31
2,0.0,31
2,0.002370119094848633,30
2,0.0,30
3,0.0,400
3,0.01744675636291504,400
3,0.015841007232666016,400
3,0.011989116668701172,309
3,0.0069522857666015625,400
3,0.0,400
3,0.022345542907714844,400
3,0.0211029052734375,400
3,0.017659664154052734,344
3,0.01790595054626465,400
3,0.017493009567260742,400
3,0.019950151443481445,400
3,0.014777183532714844,344
4,0.14501023292541504,2801
4,0.10108160972595215,2801
4,0.09732294082641602,2801
4,0.1000204086303711,2775
4,0.08421730995178223,2540
4,0.06258702278137207,1555
4,0.06917786598205566,1513
4,0.05178189277648926,1511
4,0.05060243606567383,1303
4,0.04968094825744629,1506
4,0.026211023330688477,777
4,0.10340332984924316,2801
4,0.08412885665893555,2801
4,0.14996576309204102,2801
4,0.10241270065307617,2800
4,0.10586190223693848,2800
4,0.08319473266601562,2800
4,0.09696173667907715,2775
4,0.08177375793457031,2222
4,0.0655968189239502,1527
4,0.06612277030944824,1360
4,0.022735118865966797,775
4,0.02214670181274414,575
4,0.030558109283447266,499
4,0.10625791549682617,2801
4,0.11660242080688477,2801
4,0.09978199005126953,2801
4,0.0997920036315918,2801
4,0.11506915092468262,2801
4,0.1431441307067871,2759
4,0.08583903312683105,2149
4,0.15540814399719238,2801
4,0.15087103843688965,2801
4,0.13031506538391113,2801
4,0.11409187316894531,2801
4,0.09982013702392578,2800
4,0.09998583793640137,2800
4,0.10054707527160645,2792
4,0.09844541549682617,2750
4,0.06668519973754883,2118
4,0.09993481636047363,2801
4,0.09969258308410645,2801
4,0.11211156845092773,2801
4,0.08501791954040527,2801
4,0.09996294975280762,2800
4,0.09946823120117188,2800
4,0.11413145065307617,2800
4,0.1666271686553955,2751
4,0.08275961875915527,2439
4,0.10133099555969238,2604
4,0.051935434341430664,1551
4,0.06668829917907715,1870
5,0.7463932037353516,19608
5,0.7836952209472656,19608
5,0.6688704490661621,18935
5,0.517909049987793,14587
5,0.6930384635925293,19608
5,0.7105534076690674,19608
5,0.6900739669799805,18936
5,0.6767890453338623,18367
5,0.5996315479278564,14278
5,0.37520265579223633,10360
5,0.5290989875793457,14377
5,0.7018165588378906,19608
5,0.702390193939209,19608
5,0.6707189083099365,18936
5,0.7073793411254883,18904
5,0.700803279876709,18790
5,0.6370537281036377,17302
5,0.4918341636657715,13133
5,0.489166259765625,12966
5,0.28325486183166504,7861
