limit,time,nodes,depth
1000,0.7565243244171143,15754,6
1000,0.7502164840698242,16639,6
1000,0.7500443458557129,18507,6
1000,0.7522547245025635,6149,7
1000,0.7567782402038574,17006,6
1000,0.7551178932189941,5816,7
1000,0.7590742111206055,11781,8
1000,0.7509791851043701,11116,7
1000,0.7500720024108887,12102,7
1000,0.7551119327545166,12578,7
1000,0.750112771987915,4065,8
1000,0.7528476715087891,4544,10
1000,0.7586414813995361,91,100
1000,0.750354528427124,39,615
1000,0.7525632381439209,33,1277
1000,0.7513754367828369,4,3794
1000,0.7557814121246338,4,17225
1000,0.7539408206939697,16362,6
1000,0.7500691413879395,16183,6
1000,0.751591682434082,15203,6
1000,0.754061222076416,2746,7
1000,0.7534098625183105,3053,7
1000,0.7503862380981445,13624,6
1000,0.753004789352417,3108,7
1000,0.7500677108764648,7634,7
1000,0.7522087097167969,15465,6
1000,0.7501304149627686,11157,7
1000,0.7508132457733154,5467,8
1000,0.7501051425933838,12993,7
1000,0.7512345314025879,8627,7
1000,0.7500901222229004,4308,8
1000,0.7552785873413086,1784,10
1000,0.754572868347168,186,107
1000,0.7500414848327637,8,1378
1000,0.7500004768371582,5,10536
1000,0.7510280609130859,1,34390
1000,0.7578725814819336,8939,6
1000,0.7523331642150879,4841,6
1000,0.750192403793335,18113,5
1000,0.7540967464447021,16715,5
1000,0.7535836696624756,1504,7
1000,0.7516217231750488,3335,6
1000,0.7506129741668701,12030,6
1000,0.7503378391265869,11196,6
1000,0.750981330871582,15844,5
1000,0.7502644062042236,2542,6
2000,1.7514123916625977,1189,7
2000,1.7507448196411133,42614,6
2000,1.7506961822509766,39116,6
2000,1.7519776821136475,41600,6
2000,1.7516264915466309,17044,7
2000,1.750957727432251,27017,8
2000,1.752795934677124,33828,8
2000,1.7511706352233887,29414,8
2000,1.757004976272583,1137,7
2000,1.7504398822784424,48630,6
2000,1.7506256103515625,43453,6
2000,1.7500524520874023,17593,7
2000,1.751244068145752,29383,8
2000,1.7507414817810059,35241,8
2000,1.7506630420684814,17347,10
2000,1.750502347946167,19948,10
2000,1.751007080078125,613,7
2000,1.7506284713745117,26464,6
2000,1.7501733303070068,40562,6
2000,1.750291109085083,19274,7
2000,1.7506599426269531,27702,8
2000,1.7527151107788086,36006,8
2000,1.7517187595367432,24691,10
2000,1.7535271644592285,22444,11
2000,1.7504193782806396,13,16497
